Paper_ID,step_0_visual_inspection,step_1_concept_analysis,step_2_benchmark_verification,step_3_strategic_critique
O_ISAC_245,The paper includes several visual aids such as system diagrams and line charts. Figure 1 depicts the...,The proposed system uses a MIMO-OFDM ISAC baseline and employs a Markov chain Monte Carlo (MCMC)-bas...,The paper reports that the proposed algorithm achieves an estimation accuracy on the order of 10^-1 ...,The proposed algorithm solves the problem of joint target detection and parameter estimation in ISAC...
O_ISAC_248,"The paper includes several images: a system schematic of FMF sensing via higher-order mode IMXT, a m...",The system mechanism involves using a few-mode fiber (FMF) to provide joint communications and sensi...,"The reported metrics, such as the BER curves and the power spectra of the LP11a and LP11b modes, are...",The paper solves the problem of providing joint communications and sensing in FMFs by exploiting the...
O_ISAC_252,"The paper includes several figures, including a system architecture diagram, BER curves, and a curve...",The system uses a wavefront sensor to capture distortion image data of the communication beam and em...,The paper reports a BER reduction of 9.64% and a power consumption reduction of 20.75% compared to t...,The paper solves the problem of stable laser communication between satellites and ground stations un...
O_ISAC_259,"The paper contains several images, including system block diagrams, signal structure diagrams, ampli...","The proposed system uses a novel degree of freedom, frequency-domain phase difference (PD), to desig...","The paper reports a PAPR reduction of 6.7 dB, from 9.7 dB to 3.0 dB, and a BER improvement of nearly...",The proposed OFDM-ISAC waveform design solves the problem of high PAPR in traditional OFDM systems w...
O_ISAC_272,"The paper includes several figures, including Figure 1, which shows the joint range-velocity estimat...","The system employs an OCDM-based ISAC framework, where the transmitted signal comprises multiple pul...",The paper reports that the proposed TSSR method achieves significant reductions in range and velocit...,The proposed TSSR method addresses the resolution constraints in conventional parameter estimation m...
O_ISAC_276,The paper includes several figures and charts that provide visual evidence of the research. Figure 1...,"The system mechanism is based on the concept of OTDR trace serialization, which converts a tradition...","The paper reports several metrics, including the event magnitude measurement, temperature measuremen...","The paper solves the problem of PPE in PtMP PONs, which prevents accurate event detection and locali..."
O_ISAC_280,"The paper includes several images, including system architecture diagrams, algorithm processing diag...",The system mechanism is based on a photonics-enabled cellular BS network with a spectrum fusion algo...,"The reported metrics, such as the imaging resolution of 2.9 cm x 2.9 cm and the maximum achievable c...",The paper solves the problem of achieving high-resolution imaging and communication simultaneously i...
O_ISAC_283,"The paper contains 20 images, including system block diagrams, experimental photos, spectral analysi...",The proposed system uses a photonics-assisted self-interference cancellation scheme to achieve in-ba...,"The reported metrics, such as the cancellation depth, range resolution, and cross-range resolution, ...",The proposed system solves the problem of self-interference cancellation in in-band full-duplex inte...
O_ISAC_286,"The paper contains 9 images, including conceptual diagrams, system architecture, block diagrams, exp...","The system uses a photonics-assisted MMW OFDM ISAC architecture, where the OFDM signal is modulated ...",The paper reports a data rate of 4 Gbps and a ranging resolution of 1 cm for single-target detection...,The paper solves the problem of achieving high-resolution ranging and high-speed communication in a ...
O_ISAC_288,"The paper includes various figures and diagrams that illustrate the proposed ISAC system model, incl...","The proposed ISAC system uses a DSSS-BPSK unified waveform, which is generated by modulating the inf...",The paper reports a range resolution of 43 cm and a maximum unambiguous range of 1200 m. The radar s...,The proposed ISAC system solves the problem of integrating communication and sensing functions using...
O_ISAC_291,"The paper includes several images, including a conceptual illustration of Pepper's ghost illusion, a...",The HoloCube system utilizes the Pepper's ghost illusion to create a virtual 3D cube for omnidirecti...,The paper reports a maximum data rate of 109.4 Kbps and a goodput of 70 Kbps at 4m. The BER analysis...,The HoloCube system solves the problem of omnidirectional optical wireless communication with integr...
O_ISAC_300,"The paper includes 16 images, including time-frequency diagrams, correlation coefficient plots, achi...","The paper proposes a dual-chirp waveform design for photonic THz-ISAC systems, where the up-chirp ca...","The paper reports a data rate of 20 Gbps, a PSLR of 29.2 dB, and a range resolution of 1.5 cm. These...",The paper solves the problem of achieving preamble-free synchronization in photonic THz-ISAC systems...
O_ISAC_301,"The paper includes several figures and charts that illustrate the experimental setup, system archite...",The system mechanism involves a photonics-based W-band ISAC system that utilizes a combination of co...,"The reported metrics, such as the peak NDR of 68.6 Gbit/s and the sensing resolution of 1.95 cm, are...","The paper solves several problems, including the demonstration of a photonics-based W-band ISAC syst..."
O_ISAC_303,"The paper contains several figures and diagrams, including a comprehensive overview of the LiSAC sys...","The paper introduces the concept of LiSAC, which integrates lighting, sensing, and communication. Th...","The paper reports various performance metrics, including data rate, spectral efficiency, and localiz...","The paper solves the problem of integrating lighting, sensing, and communication into a single syste..."
O_ISAC_304,The paper includes several images: a system schematic of the chirp-polarity coded LFM signal generat...,The system uses a chirp-polarity coded LFM waveform to simultaneously perform radar and communicatio...,"The paper reports a range resolution of 1.875 cm, which is twice that of the input LFM signal. The r...",The paper solves the problem of simultaneously performing radar and communication functions using a ...
O_ISAC_310,The paper includes several figures and charts that provide visual details about the proposed system....,The proposed system is a photonics-based CE THz ISAC system that integrates 2D positioning and CFP. ...,"The reported metrics, such as the communication data rate of 18.448 Gbit/s and the radar range resol...",The proposed system solves the problem of achieving high-speed communication and high-resolution tar...
O_ISAC_324,"The paper contains several images, including network architecture diagrams, concept diagrams, signal...",The ISAQN scheme integrates sensing and quantum communication through a round-trip multiband structu...,The paper reports a secure key rate (SKR) of approximately 0.7 Mbits/s for each user under 10-km sta...,The ISAQN scheme addresses the challenge of integrating sensing and quantum communication in a multi...
O_ISAC_327,"The paper contains various figures and diagrams, including a concept diagram of 6G VLC-IoE applicati...",The paper discusses the concept of Visible Light Communication (VLC) and its application in Internet...,"The paper reports various metrics, including path loss exponent (PLE), root mean square delay spread...",The paper solves the problem of characterizing and modeling VLC channels for IoE applications. Howev...
O_ISAC_340,The paper includes several figures and diagrams that provide insight into the 6G-EWOC project's arch...,The 6G-EWOC project aims to develop a 6G-V2X network that combines fiber-optic and wireless technolo...,"The paper reports several performance metrics, including data rates of >100 Mb/s for V2V OWC and >1 ...","The 6G-EWOC project addresses several key challenges in the development of 6G-V2X networks, includin..."
O_ISAC_347,"The paper includes several figures and diagrams, including a system schematic of an optical fiber IS...","The system uses a unified waveform, 4-PAM-LFM, which integrates communication and sensing. The LFM o...",The paper reports a data rate of 8 GBaud/s and a sensing range of 25 km. The LDBP algorithm achieves...,The paper solves the problem of nonlinear impairment compensation in optical fiber ISAC systems usin...
O_ISAC_348,"The paper contains several figures and charts, including a conceptual diagram of the ISAC-OF system,...",The ISAC-OF system uses a periodic linear frequency modulation (LFM) light as the optical carrier an...,The paper reports a 56 Gbit/s PAM4 signal transmission and distributed vibration measurements with a...,The paper solves the problem of integrating high-speed optical communication and distributed sensing...
O_ISAC_349,"The paper includes several images, including a waveform concept diagram, an experimental setup diagr...","The system uses a radar-centric approach, where the primary structure is a linear frequency modulati...","The reported metrics, such as the range resolution and peak sidelobe ratio (PSLR), are physically co...",The paper solves the problem of achieving high PSLR and range resolution in a radar-centric ISAC sys...
O_ISAC_350,,,,
O_ISAC_351,"The paper includes several figures and diagrams that illustrate the proposed system architecture, in...",The system uses a Hamiltonian coding scheme to integrate ToF depth sensing and optical communication...,The paper reports a depth error of 11.64 mm and a mean BER of nearly 0 for single-frequency modulati...,The proposed system solves the problem of integrating ToF depth sensing and optical communication us...
O_ISAC_354,"The paper includes several images, including a conceptual device diagram of a monolithic III-nitride...",The system mechanism involves a monolithic III-nitride photonics chip with a transmitter and receive...,"The reported metrics, such as the 24 Mbps transmission rate and 26 kbps receiving rate, are physical...",The paper solves the problem of integrating motion sensing and visible light communication in a sing...
O_ISAC_356,The paper includes several figures: Figure 1 shows a comparison of recent ISAC demonstrations in ter...,"The system uses a photonic terahertz integrated sensing and communication (THz-ISAC) approach, which...","The reported metrics, such as the 120 Gbit/s data rate and 2.5 mm range resolution, are physically c...",The system solves the problem of achieving high data rates and range resolutions in a photonic THz-I...
O_ISAC_360,The paper presents a monolithic III-nitride photonic circuit for integrated sensing and communicatio...,The system mechanism involves the use of a comb waveguide to couple light between the transmitter an...,"The paper reports a data rate of 40 Mbps for in-plane communication, with minimal distortion in the ...",The paper presents a novel monolithic III-nitride photonic circuit that integrates sensing and commu...
O_ISAC_368,The paper includes several figures illustrating different aspects of Integrated Sensing and Communic...,"The paper discusses three categories of optical ISAC: photonics-assisted, distributed optical fiber ...","The paper presents a comparison of different ISAC systems, including their methodologies, sensing ob...","The paper identifies several open issues in ISAC, including the challenge of combining different sen..."
O_ISAC_371,The paper includes several figures: Figure 1 shows the transmitter structure of the VLC-OCC-CDMA sys...,"The system uses a VLC-OCC-CDMA Rake receiver, which combines the energy of multi-path transmissions ...",The paper reports a data rate of 125 Mbps and a BER performance that improves with increasing SNR an...,The paper solves the problem of designing a VLC-OCC-CDMA Rake receiver that can effectively combine ...
O_ISAC_377,The paper presents a photonics-aided mmW integrated sensing and communications (ISAC) system. The sy...,"The system uses a DC-offset QPSK-encoded LFMCW waveform, which enables both high-resolution sensing ...","The paper reports a 10.4-cm spatial resolution and an 11.5-Gbit/s transmission rate, which are physi...",The paper solves the problem of integrating high-resolution sensing and high-speed communication in ...
O_ISAC_379,"The paper includes several images, including a conceptual architecture of adaptive photonics-based I...",The system uses a photonics-based approach to integrate sensing and communication. The ISAC coupling...,The paper reports a maximum data rate of 41.48 Gbps and a minimum resolution of 1.53 cm. These metri...,"The paper solves the problem of integrating sensing and communication in a photonics-based system, a..."
O_ISAC_381,"The paper proposes a long-distance, real-time LED display-camera communication (DCC) system based on...",The system uses a LED-DCC point clustering scheme to increase the light-emitting area for sending in...,"The system's performance is verified through experiments, which show that it can achieve a maximum d...","The system's long-distance and real-time capabilities make it suitable for various applications, but..."
O_ISAC_386,"The paper includes several images, including Figure 2, which shows an OOK modulation method, and Fig...","The system uses a visible light communication transceiver based on an intelligent terminal, with OOK...","The paper reports a bit error rate (BER) performance comparison between different decoding methods, ...",The paper solves the problem of designing a visible light communication system based on smart termin...
O_ISAC_388,"The paper includes several figures and charts, including a system block diagram of the transmitter s...","The system uses a VLC-OCC-CDMA mechanism, where OCCs are used as signature codes to separate users. ...","The paper reports a BER performance comparison between VLC-OCC-CDMA and VLC-OOC-CDMA systems, and th...",The paper solves the problem of multiple access interference in VLC-CDMA systems by using OCCs as si...
